Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,label,processed
"USER USER USER ""Provokasi mayat, politisasi agama"" penyebab kekalahan pilkada DKI, beginilah cara cebong mendeskripsikan kekalahan junjungannya.; FYI ahog blm pernah ikut pemilihan apapun (kec jd wakil) dan dia bukanlah etnis mayorita",1,1,1,0,0,1,0,0,0,1,0,0,Hate Speech,provokasi mayat politisasi agama sebab kalah pilih kepala daerah daerah khusus ibukota cebong deskripsi kalah junjung for your information ahok pilih apa camat wakil etnis mayoritas
USER Lol bani lowo',1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech,wkwk bani lowo
"Takabur bisa lahir dari siapa saja. Penguasa, rakyat, ulama maupun cendikia. Bahkan iblis mahluq yg alim &amp; telah beribadah beratus2 th dilaknat krn hasud takabburnya. Apalagi hanya seorang ahli ilmu filsafat yg tdk failosof; ; Mari kita demo diri sendi",0,0,0,0,0,0,0,0,0,0,0,0,Normal,takabur lahir kuasa rakyat ulama cendikia iblis makhluk alim amp ibadah atus laknat hasud takabur ahli ilmu filsafat failosof mari demo sendi
"A orang yang suka ke konser-konser, sedikit boros.",0,0,0,0,0,0,0,0,0,0,0,0,Normal,orang suka konser konser boros
[ SAMPAI KAPAN MAKAN RACUN ? ]; _; Banyak ulama yang mengatakan hukum rokok mubah dan ada jugaâ?¦,0,0,0,0,0,0,0,0,0,0,0,0,Normal,makan racun ulama hukum rokok mubah
Susilo Bambang Yudhoyono Presiden RI ke 6 meminta Khofifah Emil untuk dekat dengan masyarakat . No 1 Bisa ! BaGusS #KhofifahEmilNomer1,0,0,0,0,0,0,0,0,0,0,0,0,Normal,susilo bambang yudhoyono presiden ri khofifah emil masyarakat no bagus
"USER udah biasa kali. Gue kpoper tapi kalo ngomonv sama temen2 gue, idol gua banci homo'",1,1,1,0,0,0,0,1,0,1,0,0,Hate Speech,kali gue gemar korea pop omong teman gue idol gue banci homo
Saya suka video USER URL Awal Kisah Perseteruan Haji Bolot &amp; Malih Tongtong',0,0,0,0,0,0,0,0,0,0,0,0,Normal,suka video kisah seteru haji bolot amp malih tongtong
"Budaya kafir bersungguh, klau hal2 islam tidak diendahkan...",0,0,0,0,0,0,0,0,0,0,0,0,Normal,budaya kafir sungguh islam indah
"USER USER USER USER \xf0\x9f\x8e\xb6 la la la...hm hmm \xf0\x9f\x8e\xa7 ""Semua diam ,semua bisu""\n""Kita coba tanya sama rumput yg bergoyang"" \n\xe2\x99\xab\xe2\x99\xab\xe2\x99\xab\xe2\x99\xaa\xe2\x99\xaa\xe2\x99\xaa'",0,0,0,0,0,0,0,0,0,0,0,0,Normal,hem hem diam bisu coba rumput goyang
"Apabila setan membisikkan was-was kepadamu, mintalah perlindungan kepada Allah. (QS. al-A\xe2\x80\x99raf: 200 dan Fushilat: 36).'",0,0,0,0,0,0,0,0,0,0,0,0,Normal,setan bisik was was kepada minta lindung allah qs al araf fussilat
USER USER USER USER USER USER USER Klw ente atheis..ngapain sibuk dgn agama orang...,0,0,0,0,0,0,0,0,0,0,0,0,Normal,ateis sibuk agama orang
Lengserkan Jokowi Bangsat!!,1,1,1,0,0,0,0,0,1,0,0,1,Hate Speech,lengser jokowi bangsat
"RT USER: Bajingan Homo!!!\nHati2 terhadap anak2 kita terutama di kamar mandi laki2, jgn biarkan sendiri! URL",1,1,1,0,0,0,0,1,0,1,0,0,Hate Speech,bajing homo nhati anak kamar mandi laki biar
"USER Yang ngajarin solat'a ajah itu orang aseng dia hanya ingin memecah belah islam""",0,0,0,0,0,0,0,0,0,0,0,0,Normal,ajar salat orang asing pecah belah islam
USER USER Kita semua tidak pernah akan mempercayai yg negara Kita disuatu hari nanti akan dijajah oleh kerana terdapat kes2pembubaran sistem2 beraja dinegara Kita kini untuk menjadikan sebagai negara republik komunis padahal negara2 penjaja,0,0,0,0,0,0,0,0,0,0,0,0,Normal,percaya negara di suatu jajah ke ranah kespembubaran sistem beraja di negara jadi negara republik komunis negara jaja
tapi masih menikmati kebijakan yang dulu diusulkan PKI.. lha yo opo...,1,0,0,1,0,1,0,0,0,0,1,0,Hate Speech,nikmat bijak usul partai komunis indonesia iya
Kalo seumpama orang cina di usir paksa dari indonesia gimana,1,0,0,1,0,1,0,0,0,0,1,0,Hate Speech,umpama orang cina usir paksa indonesia
RT USER: china babi... china maling...\n#UsirChina https:\/\/t.co\/9y4HIWHJp2,1,1,0,1,0,1,0,0,0,0,0,1,Hate Speech,cina babi cina maling hypertext transfer protocol over secure socket layer co yhiwhjp
"Bung Karno anti asing dan beliau dari Jawa, coba deh adain konsensus lebih banyak mana Jawa yang anti asing atau pro asing karena kebo*ohannya. \n\nKalau kami keliru kami tutup akun'",0,0,0,0,0,0,0,0,0,0,0,0,Normal,karno anti asing beliau jawa coba adakan konsensus jawa anti asing pro asing kebo ohannya keliru tutup akun
PROYEK KORUPSI REZIM SBY URL,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,proyek korupsi rezim susilo bambang yudhoyono
"USER Wajar saja, lihat saja tingkah bbrp petinggi negeri ini yg suka mencampur bhs indonesia dgn bhs asing setiap kali bicara'",0,0,0,0,0,0,0,0,0,0,0,0,Normal,wajar lihat tingkah petinggi negeri suka campur bahas indonesia bahas asing kali bicara
AB: pribadi yg senang berkompetisi dalam hal yang baik dan positif,0,0,0,0,0,0,0,0,0,0,0,0,Normal,ab pribadi senang kompetisi positif
USER USER Terus menurut lo kitab suci agAma apa yg di bilang om USER ; ; #Mendadakkalap,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,kitab suci agama bilang om
USER Suka nutup mata. Kaga ditutup pun udah terlihat tertutup gara2 sipit /?',0,0,0,0,0,0,0,0,0,0,0,0,Normal,suka tutup mata tutup tutup gara sipit
"USER Sy sbg muslim tdk merasa pak USER menistakan kitab suci Alqur'an, krn dlm Alqur'an sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam, tp kami yakini kata tsb ada makna yg tersirat (fiksi) yg blm",0,0,0,0,0,0,0,0,0,0,0,0,Normal,muslim nista kitab suci alquran an alquran an suku detik makna faktual umat islam makna sirat fiksi
"BENTAR LAGI GUA RILIS ALBUM THE ONTA'S WKWKWKWKWK""",0,0,0,0,0,0,0,0,0,0,0,0,Normal,bentar gue rilis album the onta wkwk
Najis banget gw ngetwit apa barusan wey',0,1,0,0,0,0,0,0,0,0,0,0,Abusive,najis banget gue mentwit barusan he
USER awas bintitan lu ngintipin titit kucing',0,1,0,0,0,0,0,0,0,0,0,0,Abusive,awas bintit intip titit kucing
"USER USER Bawel, baper, bolot, baik, bodor , gaje wkwk apa ya udah itu aja deh'",0,1,0,0,0,0,0,0,0,0,0,0,Abusive,bawel bawa asa bolot bodor enggak jelas wkwk
"USER USER USER USER Gue saranin gk perlu bnyk bacot maling ayat, langsung to the point aja lu jadi orang... Yg tdk sepaham lu teriakin aja kafir sesat, liberal, pemuja dukun, bla blaaa.. pasti hatimu puas dehh ..'",1,1,1,0,1,0,0,0,0,1,0,0,Hate Speech,gue saran bacot maling ayat langsung to the point orang paham riak kafir sesat liberal puja dukun bla blaaa hati puas
Jgn salah target bkn ahok... agenda utama lengserkan Jokowi ..,1,0,1,0,0,0,0,0,1,0,0,1,Hate Speech,salah target ahok agenda utama lengser jokowi
USER USER masa baru kena hestek aja udah kepanasan ??? Kepo banget ; ; #2019GantiPresiden,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,kena tagar panas ingin tahu banget
"Maju lu sini duit tapi kau goyang kaki tak buat pape , mana la duit nak maju kat kau bodo URL",0,1,0,0,0,0,0,0,0,0,0,0,Abusive,maju duit goyang kaki pape duit nak maju kat bodoh
"USER HKBP berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belanda,dl tdk ada yg namanya kristen protestan yg ada cm kristen khatolik.\nTerjadilah perpecahan dan berdirilah HKBP yg prtama kali di tarutung.\n\nNah skrg anda sy k",0,0,0,0,0,0,0,0,0,0,0,0,Normal,huria kristen batak protestan diri pecah kristen katolik zaman jajah belanda nama kristen protestan kristen katolik pecah diri huria kristen batak protestan kali tarutung
"Ha .. ha .. Banyak baca biar pintar ... JEPANG, AMERIKA, CHINA... Utang sama siapa ... Anda tau enggak ..?",0,0,0,0,0,0,0,0,0,0,0,0,Normal,baca biar pintar jepang amerika cina utang tau
Prabowo Sudah Kalah Menyebut Bantuan Jokowi Hanya Pencitraan Adalah Ratapan Pilu,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,prabowo kalah sebut bantu jokowi citra ratap pilu
USER USER dan yang takut dengan adzan adalah IBLIS',0,0,0,0,0,0,0,0,0,0,0,0,Normal,takut azan iblis
USER USER Yg goblog itu adalah bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin masa yg dibayar pakai nasi bungkus. Propaganda nasi bungkus memang selalu gagal.',1,1,0,1,0,0,0,0,1,0,1,0,Hate Speech,goblok bani cebong tukang tipu jilat kuasa tahu gera bayar pakai nasi bungkus propaganda nasi bungkus gagal
2. Gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,0,0,0,0,0,0,0,0,0,0,0,0,Normal,gera tekan kerja keras total tingkat potensi bangsa
Padahal gubernur saat ini Djarot. Mayoritas partai politik di DPRD juga pendukung Ahok Djarot. Payah ya mereka USER URL,1,0,1,0,0,0,0,0,1,1,0,0,Hate Speech,gubernur djarot mayoritas partai politik dewan wakil rakyat daerah dukung ahok djarot payah
"USER rezim rusak bukan memperbaiki systeamnya malah sibuk cari2 kesalahan klu itu pasti ketemu aja, KPK alatnya, besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi, orangnya'",0,0,0,0,0,0,0,0,0,0,0,0,Normal,rezim rusak baik sistem sibuk cari salah ketemu komisi berantas korupsi alat besok perintah ganti ulang engah selesai organisasi orang
"Saat orang orang saling menuding antek aseng, aseng sesungguhnya bertepuk tangan.'",0,0,0,0,0,0,0,0,0,0,0,0,Normal,orang orang tuding antek asing asing sungguh tepuk tangan
"Selamat Pak USER Semoga Bisa Terus Berkiprah, Bahkan Tingkat Nasional.",0,0,0,0,0,0,0,0,0,0,0,0,Normal,selamat moga kiprah tingkat nasional
USER Yang saya ketahui bahwa diketapang banyak tka asing yg berkerja di berbagai perusahaan. Termasuk pt who tambang bouksid yg viral saat pilpres dulu. \nDan bisa jadi ini karena kerja sama tsb terjadi di era gubernur cornelis dan wakilnya ora,0,0,0,0,0,0,0,0,0,0,0,0,Normal,tahu ketapang tenaga kerja asing asing usaha pt who tambang bauksit viral pilih presiden kerja era gubernur cornelis wakil
USER Anak pecun... ga jauh2 dr hobi zina.. haha',1,1,1,0,0,0,0,1,0,1,0,0,Hate Speech,anak pecun hobi zina haha
"USER Istirahat aja pak presiden momentum sudah berlalu, saya pernah jadi saksi telinga dan mata awal rapat pembentukan PD di Pacitan tahun 2003",0,0,0,0,0,0,0,0,0,0,0,0,Normal,istirahat presiden momentum saksi telinga mata rapat bentuk pacitan
"Pada 1979, House Select Committee on Assassinations (HSCA) menemukan cacat investigasi yang dilakukan FBI dan Warren Commission. HSCA juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya.'",0,0,0,0,0,0,0,0,0,0,0,0,Normal,house select committee on assassination hsca temu cacat investigasi fbi warren commission hsca simpul tembak konspirasi dalam
"USER Tak terasa genap 1 tahun mendatang 17 April 2018 akan digelar Hajatan pilpres, acara tahunan Negara Indonesia untuk memilih Presiden. Semoga senantiasa berjalan aman dan lancar. Amin.",0,0,0,0,0,0,0,0,0,0,0,0,Normal,genap april gelar hajat pilih presiden acara tahun negara indonesia pilih presiden moga senantiasa jalan aman lancar amin
"USER USER Ngakunya org pintar dan beragama, emangnya agama mana yg memperbolehkan menista dan menghujat org lain???. Jgnkan orang bodoh, org yg ( maaf) sejak lahir idiot sekalipun dia, kita hrs hargain sebagai sesama ciptaan Tuhan. Ingat : iblis itu juga pintar dan sangat licik!!!'",0,1,0,0,0,0,0,0,0,0,0,0,Abusive,aku orang pintar agama memang agama boleh nista hujat orang orang bodoh orang maaf lahir idiot harga cipta tuhan iblis pintar licik
Pendaftaran Capres untuk #Pilpres2019 saja belum dibuka sampai Agustus 2018...yang normatif begini politikus PDIP masih belum paham? #2019GantiPresiden !!,1,0,0,1,0,0,0,0,1,0,1,0,Hate Speech,daftar calon presiden buka agustus normatif politikus partai demokrasi indonesia juang paham
Si tolol udah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang DPR paya cebong URL,1,1,1,0,0,1,0,0,0,1,0,0,Hate Speech,tolol tau perintah rezim komunis bobrok koruptor pimpin sidang dewan wakil rakyat paya cebong
dari dulu kenapa bapak w kalau ke mantan mantan w selalu mgerasa sedih ampe kepikiran dan gabisa tidur lohh?!! dan w ngerasa jadi anak yg brengsek aja gt ke laki2 :)))',0,1,0,0,0,0,0,0,0,0,0,0,Abusive,mantan mantan sedih pikir tidak bisa tidur lo anak berengsek laki
Cina perusak bangsa!! Usir !! Stuju??,1,0,0,1,0,1,0,0,0,0,0,1,Hate Speech,cina usak bangsa usir tuju
#2019GantiPresiden scra konstitusional hak setiap rakyat woiii!! . Gini nih kalo planga plongo tapi kelakuan otoriter.,1,1,1,0,0,0,0,0,1,1,0,0,Hate Speech,konstitusional hak rakyat woiii plonga plongo laku otoriter
Mari kita wujudkan Pilkada Kota Bengkulu 2018 aman dan damai.; .; .; coki_adem86 98heruâ?¦,0,0,0,0,0,0,0,0,0,0,0,0,Normal,mari wujud pilih kepala daerah kota bengkulu aman damai cok adem heru
"Mau tanya serius ini sm presiden jokowi======= knp yg ada cm islam nusantara,knp tdk ada kristen nusantara,budha,hindu bahkan kong huchu nusantara???'",0,0,0,0,0,0,0,0,0,0,0,0,Normal,serius presiden jokowi islam nusantara kristen nusantara buddha hindu kong hucu nusantara
KORSA: Pernyataan Moeldoko Bukti Istana Takut dengan Kebangkitan Umat Islam,0,0,0,0,0,0,0,0,0,0,0,0,Normal,sama nyata moeldoko bukti istana takut bangkit umat islam
